id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName,image
1297,34000,Women,Apparel,Topwear,Tops,Black,Summer,2012,Casual,Femella Women Black Top,34000.jpg
1298,7707,Women,Apparel,Bottomwear,Jeans,Black,Fall,2011,Casual,Jealous 21 Women's Abbie Black Jegging,7707.jpg
1300,16350,Men,Apparel,Topwear,Shirts,Cream,Fall,2011,Formal,Peter England Men Stripes Cream Shirt,16350.jpg
1301,51497,Women,Apparel,Bottomwear,Jeans,Navy Blue,Summer,2012,Casual,Denizen Women Navy Blue Jeans,51497.jpg
1302,22165,Men,Footwear,Shoes,Casual Shoes,Brown,Fall,2012,Casual,Timberland Men Brown Casual Shoes,22165.jpg
1304,2275,Men,Apparel,Topwear,Tshirts,White,Fall,2010,Sports,Nike Mens Challenger Graphic White T-shirt,2275.jpg
1308,49468,Men,Footwear,Shoes,Casual Shoes,Red,Summer,2012,Casual,Vans Men Red Old Skool Shoes,49468.jpg
1310,22959,Men,Footwear,Shoes,Sports Shoes,White,Summer,2012,Sports,Reebok Men White Fusion Sports Shoes,22959.jpg
1311,34232,Men,Apparel,Topwear,Tshirts,Grey,Summer,2013,Casual,Proline Men Grey T-shirt,34232.jpg
1314,16162,Men,Footwear,Sandal,Sandals,Black,Fall,2011,Casual,Enroute Men Leather Black Sandals,16162.jpg
1315,22357,Men,Apparel,Topwear,Shirts,Black,Fall,2011,Casual,John Players Men Solid Black Shirt,22357.jpg
1317,7535,Men,Apparel,Topwear,Tshirts,Blue,Summer,2011,Sports,Nike Men's Blue Polo T-shirt,7535.jpg
1318,46612,Women,Footwear,Shoes,Heels,Brown,Winter,2012,Casual,Catwalk Women Brown Wedges,46612.jpg
1320,13410,Men,Apparel,Topwear,Shirts,Blue,Summer,2011,Casual,United Colors of Benetton Men Solid Blue Shirts,13410.jpg
1322,43360,Men,Footwear,Shoes,Sports Shoes,White,Summer,2012,Sports,Reebok Men White Ultimate Vibe Sports Shoes,43360.jpg
1323,2047,Men,Apparel,Topwear,Tshirts,Navy Blue,Fall,2010,Sports,ADIDAS Men's Navy Blue T-shirt,2047.jpg
1324,30692,Women,Footwear,Shoes,Heels,Brown,Winter,2015,Casual,Catwalk Women Brown Heels,30692.jpg
1329,41437,Men,Footwear,Shoes,Sports Shoes,White,Fall,2012,Sports,Lee Cooper Men White Sports Shoes,41437.jpg
1330,33017,Women,Apparel,Topwear,Kurtas,Green,Summer,2012,Ethnic,Mother Earth Women Striped Green Kurta,33017.jpg
1339,16506,Men,Apparel,Bottomwear,Jeans,Blue,Fall,2011,Casual,Locomotive Men Washed Blue Jeans,16506.jpg
1340,22733,Men,Footwear,Shoes,Casual Shoes,Grey,Fall,2011,Casual,Nike Men Dunk High Grey Casual Shoes,22733.jpg
1341,35784,Women,Footwear,Shoes,Flats,Black,Summer,2012,Casual,Enroute Women Black Shoes,35784.jpg
1342,7151,Women,Apparel,Topwear,Shirts,Black,Fall,2011,Casual,Scullers For Her Women Rivited Check Black Shirts,7151.jpg
1343,46276,Women,Apparel,Topwear,Tops,Cream,Summer,2012,Casual,109F Women Cream Printed Top,46276.jpg
1344,13848,Men,Apparel,Topwear,Tshirts,Blue,Fall,2011,Casual,United Colors of Benetton Men Solid Blue Polo Tshirts,13848.jpg
1345,6083,Women,Apparel,Topwear,Tshirts,Pink,Summer,2011,Casual,UCB Women's Halftone Print Pink T-shirt,6083.jpg
1349,31324,Women,Apparel,Topwear,Kurtas,Blue,Summer,2012,Ethnic,Aurelia Women Printed Blue Kurta,31324.jpg
1350,13074,Men,Footwear,Shoes,Casual Shoes,Brown,Fall,2011,Casual,Numero Uno Men Brown Casual Shoes,13074.jpg
1356,57136,Women,Apparel,Bottomwear,Trousers,Black,Summer,2012,Casual,Elle Women Black Trousers,57136.jpg
1358,39149,Women,Apparel,Topwear,Kurtas,Red,Summer,2012,Ethnic,Aneri Women Red Kurtas,39149.jpg
1362,5606,Men,Footwear,Sandal,Sandals,Black,Summer,2011,Casual,ADIDAS Men Kendall Black Floater,5606.jpg
1363,44521,Men,Footwear,Sandal,Sandals,Black,Summer,2012,Casual,Coolers Men Black Sandals,44521.jpg
1367,57304,Women,Footwear,Shoes,Heels,Brown,Winter,2012,Casual,Rocia Women Brown Wedges,57304.jpg
1368,33641,Men,Footwear,Flip Flops,Flip Flops,Black,Summer,2012,Casual,Lotto Men Black Koro G Slippers,33641.jpg
1371,11511,Women,Footwear,Shoes,Flats,Gold,Winter,2015,Casual,Catwalk Women Lifestyle Gold Toned Ballerinas,11511.jpg
1372,5434,Men,Apparel,Topwear,Tshirts,Red,Summer,2011,Sports,Nike Men's Kill Man Red T-shirt,5434.jpg
1373,44713,Men,Footwear,Flip Flops,Flip Flops,Black,Summer,2012,Casual,Lotto Men Black Flip Flops,44713.jpg
1374,14063,Men,Apparel,Topwear,Tshirts,Blue,Fall,2011,Casual,Flying Machine Men Solid Blue Polo Tshirts,14063.jpg
1375,20256,Men,Apparel,Topwear,Tshirts,Green,Fall,2011,Casual,Wrangler Men Wing Green T-shirt,20256.jpg
1380,16734,Men,Footwear,Flip Flops,Flip Flops,Maroon,Fall,2011,Casual,Lotto Men Emeriti Maroon Slipper,16734.jpg
1381,22501,Women,Footwear,Shoes,Casual Shoes,Beige,Winter,2015,Casual,Catwalk Women Beige Casual Shoes,22501.jpg
1382,49830,Women,Footwear,Flip Flops,Flip Flops,Pink,Winter,2012,Casual,iPanema Women Pink Flip Flops,49830.jpg
1383,47196,Men,Footwear,Sandal,Sandals,Brown,Summer,2012,Casual,Franco Leone Men Brown Sandals,47196.jpg
1388,43536,Women,Apparel,Topwear,Tops,Peach,Summer,2012,Casual,French Connection Women Peach Top,43536.jpg
1389,28807,Men,Apparel,Topwear,Shirts,Brown,Summer,2012,Casual,Denizen Men Check Brown Shirt,28807.jpg
1390,2611,Women,Footwear,Shoes,Heels,Gold,Winter,2012,Casual,Carlton London Women Stylish Gold Flats,2611.jpg
1391,13246,Men,Apparel,Bottomwear,Jeans,Blue,Fall,2011,Casual,Palm Tree Kids Boy Washed Blue Jeans,13246.jpg
1392,54581,Women,Apparel,Topwear,Kurtas,Green,Summer,2012,Ethnic,Sushilas Women Printed Green Kurta,54581.jpg
1393,3763,Men,Apparel,Topwear,Tshirts,Grey,Summer,2011,Casual,Status Quo Men's London Icon Grey T-shirt,3763.jpg
1395,26101,Men,Apparel,Topwear,Shirts,White,Summer,2012,Formal,John Miller Men Striped White Shirt,26101.jpg
1396,54521,Men,Footwear,Shoes,Sports Shoes,White,Fall,2012,Sports,F Sports Men White Voyager Sports Shoes,54521.jpg
1397,9259,Men,Apparel,Topwear,Shirts,Blue,Fall,2011,Formal,Mark Taylor Men Blue Striped Shirt,9259.jpg
1399,16794,Men,Apparel,Topwear,Shirts,Navy Blue,Fall,2011,Casual,Highlander Men Stripes Navy Blue Shirt,16794.jpg
1403,6211,Women,Apparel,Topwear,Tshirts,Blue,Summer,2011,Casual,UCB Women's Print Boat Blue Top,6211.jpg
1408,30858,Women,Apparel,Topwear,Kurtas,Black,Summer,2012,Ethnic,Fabindia Women Striped Black Kurta,30858.jpg
1410,37241,Men,Footwear,Shoes,Casual Shoes,Black,Summer,2012,Casual,United Colors of Benetton Men Black Shoes,37241.jpg
1411,5494,Men,Apparel,Topwear,Tshirts,Grey,Summer,2011,Casual,Mr.Men Men's Charcoal Polo T-shirt,5494.jpg
1414,4546,Men,Footwear,Shoes,Sports Shoes,Black,Summer,2011,Sports,Nike Men's Air Max Black Shoe,4546.jpg
1416,15111,Men,Apparel,Bottomwear,Trousers,Coffee Brown,Fall,2011,Formal,Arrow Men Stripes Coffee Brown Trousers,15111.jpg
1418,40313,Unisex,Footwear,Sandal,Sandals,White,Winter,2013,Casual,Warner Bros Kids White sandals,40313.jpg
1419,10463,Men,Apparel,Topwear,Tshirts,Grey,Fall,2011,Casual,Flying Machine Men Grey Polo Tshirts,10463.jpg
1426,21116,Women,Apparel,Topwear,Tops,Lavender,Fall,2011,Casual,s.Oliver Women Faded Lilac Top,21116.jpg
1428,56878,Women,Footwear,Shoes,Heels,Silver,Winter,2012,Casual,HM Women Silver Heels,56878.jpg
1432,32501,Men,Apparel,Topwear,Shirts,Black,Summer,2012,Casual,Scullers Men Black Shirt,32501.jpg
1434,11783,Men,Apparel,Topwear,Tshirts,Grey,Summer,2011,Casual,Lee Men Printed Grey Tshirts,11783.jpg
1437,3551,Men,Footwear,Shoes,Casual Shoes,Brown,Winter,2015,Casual,Skechers Men's Charcoal Lifestyle Shoe,3551.jpg
1438,42676,Women,Apparel,Topwear,Kurtas,Black,Summer,2012,Ethnic,Alma Women Black Kurta,42676.jpg
1439,2483,Women,Apparel,Topwear,Tops,Purple,Fall,2011,Casual,Puma Women Spagetti Dahlia Purple Top,2483.jpg
1443,9857,Men,Apparel,Topwear,Tshirts,Green,Fall,2011,Casual,Status Quo Men Green Polo Tshirts,9857.jpg
1445,6023,Men,Apparel,Topwear,Tshirts,Green,Summer,2011,Casual,UCB Men's Johny Collar With Two Tone Green T-shirt,6023.jpg
1448,32959,Men,Apparel,Topwear,Tshirts,Purple,Summer,2012,Casual,Angry Birds Men Purple T-shirt,32959.jpg
1449,52080,Men,Apparel,Topwear,Tshirts,Navy Blue,Summer,2012,Casual,Myntra Men Navy Blue T-shirt,52080.jpg
1452,4310,Unisex,Apparel,Topwear,Tshirts,Green,Summer,2011,Casual,Tantra Kid's Unisex Papa's Joy Green Kidswear,4310.jpg
1454,53152,Men,Apparel,Topwear,Shirts,Brown,Summer,2012,Formal,Mark Taylor Men Brown Shirt,53152.jpg
1455,14695,Men,Apparel,Bottomwear,Trousers,Black,Fall,2011,Casual,Basics Men Black Trousers,14695.jpg
1462,30632,Men,Apparel,Topwear,Tshirts,Yellow,Summer,2012,Sports,Nike Men Challenger Spiked Yellowish Green T-shirt,30632.jpg
1465,3135,Women,Footwear,Shoes,Heels,Gold,Winter,2015,Casual,Catwalk Women Heeded Golden Strap Black Heels,3135.jpg
1467,23225,Women,Apparel,Topwear,Kurtas,Pink,Fall,2011,Ethnic,Aneri Women Tibett Pink Kurta,23225.jpg
1468,17010,Women,Footwear,Shoes,Heels,Brown,Winter,2012,Formal,Rocia Women Brown Heels,17010.jpg
1471,6447,Women,Footwear,Flip Flops,Flip Flops,Black,Summer,2011,Casual,Lotto Women's Cross Color Black Pink Flip Flop,6447.jpg
1472,7595,Women,Footwear,Shoes,Sports Shoes,Blue,Summer,2011,Sports,Nike Women Ten Blue White Shoe,7595.jpg
1474,51605,Women,Apparel,Bottomwear,Trousers,Black,Fall,2012,Casual,Kraus Jeans Women Black Trousers,51605.jpg
1475,13682,Women,Footwear,Shoes,Sports Shoes,Silver,Fall,2011,Sports,ADIDAS Women Duramo 3 Sports Shoes,13682.jpg
1478,42020,Men,Footwear,Shoes,Casual Shoes,Brown,Summer,2012,Casual,ADIDAS Men Brown Mudslide Shoes,42020.jpg
1481,47552,Women,Footwear,Shoes,Heels,Brown,Winter,2012,Casual,Portia Women Brown Heels,47552.jpg
1482,54979,Women,Apparel,Topwear,Shirts,White,Summer,2012,Casual,Femella Women White Printed Shirt,54979.jpg
1483,6675,Men,Footwear,Shoes,Sports Shoes,White,Summer,2011,Sports,Nike Men's Free White Grey Shoe,6675.jpg
1485,51437,Women,Apparel,Topwear,Tops,Peach,Summer,2012,Casual,Myntra Women Multi Coloured Printed Top,51437.jpg
1489,4122,Unisex,Footwear,Shoes,Casual Shoes,Black,Summer,2011,Casual,Puma Unisex Lo Punk Black Yellow Shoe,4122.jpg
1490,21740,Unisex,Footwear,Shoes,Casual Shoes,Brown,Fall,2011,Casual,Vans Unisex Authentic Lo Pro Brown Casual Shoes,21740.jpg
1496,33285,Men,Apparel,Topwear,Tshirts,Blue,Summer,2012,Casual,Arrow Sport Men Striped Blue Polo T-shirt,33285.jpg
1497,40777,Men,Footwear,Flip Flops,Flip Flops,White,Summer,2012,Casual,Quiksilver Men White Flip Flops,40777.jpg
1498,10007,Women,Apparel,Topwear,Tshirts,White,Fall,2011,Sports,Nike Women As Trophy Swo White T-Shirts,10007.jpg
1499,21586,Men,Apparel,Bottomwear,Jeans,Grey,Summer,2011,Casual,Locomotive Men Washed Grey Jeans,21586.jpg
1500,52074,Men,Apparel,Topwear,Tshirts,Yellow,Summer,2012,Casual,Myntra Men Yellow & Blue T-shirt,52074.jpg
1501,14661,Men,Apparel,Topwear,Shirts,Navy Blue,Fall,2011,Casual,Basics Men Navy Slim Fit Checked Shirt,14661.jpg
1503,32191,Men,Footwear,Shoes,Sports Shoes,Blue,Summer,2012,Sports,ADIDAS Men Phantom Blue Sports Shoes,32191.jpg
1505,39579,Women,Footwear,Shoes,Heels,Multi,Winter,2015,Casual,Catwalk Women Multi Colour Flats,39579.jpg
1507,57506,Men,Footwear,Sandal,Sandals,Brown,Summer,2013,Casual,Lee Cooper Men Brown Sandals,57506.jpg
1508,33043,Women,Apparel,Topwear,Kurtas,Blue,Summer,2012,Ethnic,Mother Earth Women Printed Blue Kurta,33043.jpg
1512,13444,Women,Apparel,Topwear,Tops,Yellow,Summer,2011,Casual,United Colors of Benetton Women Printed Yellow Tops,13444.jpg
1515,8529,Men,Footwear,Shoes,Sports Shoes,Navy Blue,Summer,2011,Sports,Nike Men Nike Lunarfly+  2 Navy Blue Sports Shoes,8529.jpg
1516,28639,Men,Apparel,Topwear,Tshirts,White,Summer,2012,Sports,Nike Men White T-shirt,28639.jpg
1520,18890,Women,Apparel,Topwear,Shirts,Purple,Fall,2011,Casual,Arrow Woman Tyra Purple Shirt,18890.jpg
1521,7561,Men,Apparel,Topwear,Tshirts,White,Summer,2011,Sports,Nike Men's As Spher White T-shirt,7561.jpg
1524,16136,Women,Apparel,Topwear,Tops,Blue,Fall,2011,Casual,Tokyo Talkies Women Printed Blue Top,16136.jpg
1525,27443,Women,Apparel,Topwear,Tshirts,Pink,Winter,2015,Casual,Jockey Women Pink T-Shirt,27443.jpg
1526,13676,Men,Footwear,Shoes,Sports Shoes,Silver,Fall,2011,Sports,ADIDAS Men Titan Sports Shoes,13676.jpg
1530,26591,Men,Footwear,Flip Flops,Flip Flops,Red,Summer,2012,Casual,Puma Men Aqua Cat II Power Red Flip Flops,26591.jpg
1531,6681,Women,Footwear,Shoes,Sports Shoes,White,Summer,2011,Sports,Nike Women's Izanami White Blue Shoe,6681.jpg
1534,7753,Men,Footwear,Shoes,Sports Shoes,Black,Fall,2011,Sports,Fila Men's Victory Black Shoe,7753.jpg
1538,15581,Men,Apparel,Topwear,Tshirts,Purple,Fall,2011,Casual,Proline Men Purple Polo T-shirt,15581.jpg
1539,14453,Women,Footwear,Shoes,Heels,Black,Summer,2012,Casual,Enroute Women Casual Black Flats,14453.jpg
1540,53394,Women,Apparel,Topwear,Kurtas,Blue,Fall,2012,Ethnic,Alma Women Blue and Sea Green Printed Kurta,53394.jpg
1541,20666,Men,Apparel,Topwear,Tshirts,Grey,Fall,2011,Casual,Classic Polo Men Striped Grey Tshirt,20666.jpg
1546,40783,Men,Footwear,Flip Flops,Flip Flops,Black,Summer,2012,Casual,Quiksilver Men Black Flip Flops,40783.jpg
1547,5838,Men,Apparel,Topwear,Tshirts,White,Summer,2011,Casual,ADIDAS Men's Graphic White T-shirt,5838.jpg
1549,31142,Men,Apparel,Topwear,Shirts,Orange,Summer,2012,Formal,John Miller Men Check Orange Shirt,31142.jpg
1552,19728,Women,Apparel,Topwear,Shirts,Purple,Summer,2011,Casual,United Colors of Benetton Women Solid Purple Shirt,19728.jpg
1556,28853,Men,Apparel,Topwear,Tshirts,Purple,Summer,2012,Casual,Proline Men Purple T-shirt,28853.jpg
1558,50949,Women,Apparel,Bottomwear,Jeans,Navy Blue,Summer,2013,Casual,Lee Women Navy Blue Roxy Fit Jeans,50949.jpg
1565,34430,Women,Apparel,Topwear,Tshirts,Blue,Summer,2012,Casual,Myntra Women Face Blue T-shirt,34430.jpg
1567,50175,Women,Footwear,Shoes,Flats,Black,Winter,2012,Casual,Rocia Women Black & Brown Flats,50175.jpg
1571,5460,Women,Footwear,Shoes,Sports Shoes,Black,Summer,2011,Sports,Nike Women's Double Team Lite Black Shoe,5460.jpg
1572,44747,Men,Footwear,Shoes,Casual Shoes,Black,Summer,2012,Casual,Globalite Men Black Sparta Shoes,44747.jpg
1576,10497,Women,Apparel,Topwear,Tshirts,White,Fall,2011,Casual,Flying Machine Women RN HS White Tshirts,10497.jpg
1578,11545,Women,Apparel,Topwear,Kurtas,Green,Summer,2011,Ethnic,W Women Printed Green Kurtas,11545.jpg
1581,20030,Men,Apparel,Topwear,Shirts,Blue,Fall,2011,Casual,United Colors of Benetton Men Solid Blue Shirt,20030.jpg
1584,4780,Women,Apparel,Topwear,Tshirts,Pink,Summer,2011,Sports,ADIDAS Women's Balance Pink T-shirt,4780.jpg
1585,57162,Women,Apparel,Topwear,Tshirts,Teal,Summer,2012,Casual,Elle Women Teal T-shirt,57162.jpg
1589,25542,Women,Apparel,Topwear,Tops,Yellow,Summer,2012,Casual,Wrangler Women Striper Tank Yellow Top,25542.jpg
1590,11777,Men,Apparel,Topwear,Tshirts,Red,Fall,2011,Casual,Lee Men Printed Red Tshirts,11777.jpg
1591,7939,Men,Apparel,Topwear,Tshirts,Black,Fall,2011,Sports,Puma Men's Graphic Optic Black Silver T-shirt,7939.jpg
1592,55635,Women,Footwear,Shoes,Heels,Gold,Winter,2015,Casual,Catwalk Women Gold Heels,55635.jpg
1593,42682,Women,Apparel,Topwear,Kurtas,Cream,Summer,2012,Ethnic,Alma Women Cream & Blue Kurta,42682.jpg
1594,2477,Men,Footwear,Shoes,Sports Shoes,Blue,Fall,2010,Sports,Nike Men's LunarFly Blue Shoe,2477.jpg
1597,16552,Men,Apparel,Topwear,Tshirts,Grey,Fall,2011,Casual,Basics Men Grey Printed Polo T-shirt,16552.jpg
1598,8971,Men,Footwear,Shoes,Sports Shoes,Black,Fall,2011,Sports,Puma Men Drift Cat III CF Black Sports Shoes,8971.jpg
1599,22767,Women,Apparel,Topwear,Kurtas,Green,Fall,2011,Ethnic,BIBA Women Solid Green Kurta,22767.jpg
1600,50347,Women,Apparel,Topwear,Kurtas,Red,Summer,2012,Ethnic,Aurelia Women Red Kurta,50347.jpg
1603,14498,Men,Footwear,Shoes,Casual Shoes,Black,Fall,2011,Casual,Flying Machine Men Casual Black Casual Shoes,14498.jpg
1604,10804,Men,Footwear,Flip Flops,Flip Flops,White,Fall,2011,Casual,Wrangler Men Rider Solid White Shirts,10804.jpg
1605,4921,Women,Apparel,Topwear,Tshirts,White,Summer,2011,Casual,Gini and Jony Girl's Viona Pack of 3 Tee Kidswear,4921.jpg
1607,39780,Men,Apparel,Topwear,Shirts,Yellow,Summer,2012,Casual,Peter England Men Yellow Casual Shirts,39780.jpg
1608,40748,Women,Footwear,Flip Flops,Flip Flops,Pink,Winter,2012,Casual,Roxy Women Pink Flip Flops,40748.jpg
1609,38652,Women,Footwear,Shoes,Casual Shoes,Black,Summer,2012,Casual,Nike Women Double Team Lite Black Shoes,38652.jpg
1610,18255,Women,Apparel,Topwear,Kurtas,Off White,Summer,2012,Ethnic,Aneri Women Multi Coloured Kurta,18255.jpg
1612,9602,Men,Apparel,Topwear,Shirts,Black,Fall,2011,Casual,Scullers Men Scul White & Red Shirt,9602.jpg
1613,23814,Men,Footwear,Shoes,Casual Shoes,Black,Fall,2011,Casual,Puma Men Neo Low Black Casual Shoes,23814.jpg
1615,3338,Men,Apparel,Topwear,Tshirts,White,Summer,2011,Sports,ADIDAS Men's Mumbai Indians White Polo T-shirt,3338.jpg
1616,35971,Men,Apparel,Topwear,Tshirts,Black,Summer,2012,Casual,Flying Machine Men Tee Black T-shirt,35971.jpg
1617,19387,Men,Footwear,Shoes,Sports Shoes,Beige,Summer,2011,Sports,ADIDAS Men Dumont Beige Sports Shoes,19387.jpg
1618,54946,Men,Apparel,Topwear,Tshirts,Cream,Summer,2012,Casual,Do u speak green Men Cream T-shirt,54946.jpg
1619,23028,Men,Apparel,Topwear,Shirts,Blue,Fall,2011,Formal,Arrow Men Blue Striped Shirt,23028.jpg
1621,51408,Men,Apparel,Topwear,Shirts,Blue,Summer,2012,Casual,Myntra Men Blue and White Check Shirt,51408.jpg
1623,7798,Men,Apparel,Topwear,Tshirts,White,Fall,2011,Casual,Proline Men White Polo T-shirt,7798.jpg
1625,17813,Men,Footwear,Shoes,Casual Shoes,Brown,Fall,2011,Casual,Lee Cooper Men  Brown Casual Shoe,17813.jpg
1628,19989,Women,Apparel,Topwear,Tshirts,White,Fall,2011,Casual,United Colors of Benetton Women Printed White T-shirt,19989.jpg
1629,3936,Women,Apparel,Topwear,Tshirts,Black,Summer,2011,Casual,Jealous 21 Women's Black Miss T-shirt,3936.jpg
1635,45834,Women,Apparel,Topwear,Kurtas,Red,Summer,2012,Ethnic,Vishudh Women Red Kurta,45834.jpg
1636,33088,Women,Footwear,Shoes,Heels,Gold,Winter,2015,Casual,Catwalk Women Gold Flats,33088.jpg
1638,12139,Women,Apparel,Topwear,Kurtas,Purple,Fall,2011,Ethnic,Aurelia Women Solid Purple Kurtas,12139.jpg
1639,42649,Women,Apparel,Topwear,Kurtas,Black,Summer,2012,Ethnic,Alma Women Black Kurta,42649.jpg
1640,8186,Men,Apparel,Topwear,Shirts,Grey,Summer,2011,Casual,Locomotive Men Check Lai Grey Shirts,8186.jpg
1641,9054,Women,Footwear,Shoes,Sports Shoes,White,Fall,2011,Sports,ADIDAS Women Duramo 3 White Sports Shoes,9054.jpg
1643,48373,Men,Apparel,Topwear,Shirts,White,Summer,2012,Casual,French Connection Men White & Purple Check Shirt,48373.jpg
1644,18403,Men,Footwear,Shoes,Casual Shoes,Black,Fall,2011,Casual,Skechers Men Tone-Ups Black Shoe,18403.jpg
1645,6820,Women,Footwear,Flip Flops,Flip Flops,Green,Summer,2011,Casual,Timberland Women's Estela Umbrella Green Flip Flop,6820.jpg
1646,12905,Women,Footwear,Shoes,Casual Shoes,Purple,Fall,2011,Casual,Puma Women Casual Purple Casual Shoes,12905.jpg
1647,9868,Men,Apparel,Topwear,Tshirts,Navy Blue,Fall,2011,Casual,Status Quo Men Navy Blue Polo Tshirts,9868.jpg
1650,5699,Men,Footwear,Shoes,Casual Shoes,Black,Winter,2015,Casual,Skechers Men's Striking Black Shoe,5699.jpg
1653,59033,Women,Footwear,Shoes,Heels,Black,Winter,2012,Casual,Carlton London Women Black Heels,59033.jpg
1654,21129,Women,Apparel,Topwear,Tops,Red,Fall,2011,Casual,s.Oliver Women Printed Red Top,21129.jpg
1655,56847,Men,Apparel,Bottomwear,Jeans,Blue,Summer,2012,Casual,John Players Men Blue Jeans,56847.jpg
1660,4579,Women,Footwear,Shoes,Sports Shoes,Blue,Summer,2011,Sports,Nike Women Zoo Blue Shoe,4579.jpg
1662,24669,Men,Footwear,Shoes,Casual Shoes,Red,Fall,2011,Casual,Converse Men Red Casual Shoes,24669.jpg
1664,15912,Men,Apparel,Topwear,Shirts,Blue,Fall,2011,Formal,Black Coffee Men Stripes Blue Shirt,15912.jpg
1667,18631,Men,Apparel,Topwear,Tshirts,Navy Blue,Fall,2011,Casual,Puma Men GP Speed Navy Blue Tshirts,18631.jpg
1668,9266,Men,Apparel,Topwear,Shirts,Navy Blue,Fall,2011,Casual,Scullers Men Scul Blue Shirts,9266.jpg
1673,26902,Women,Apparel,Topwear,Tops,Lavender,Summer,2012,Casual,Jealous 21 Women Printed Lavender Top,26902.jpg
1676,17679,Women,Footwear,Shoes,Heels,Pink,Winter,2015,Casual,Catwalk Women Buckel Pink Flats,17679.jpg
1677,30867,Women,Apparel,Topwear,Kurtas,Blue,Summer,2012,Ethnic,Fabindia Women Blue Kurta,30867.jpg
1678,7906,Men,Apparel,Topwear,Tshirts,Black,Fall,2011,Casual,Proline Men Black & Navy Striped Polo T-shirt,7906.jpg
1680,8172,Women,Footwear,Shoes,Heels,Blue,Winter,2015,Casual,Catwalk Women Slim Casual Beige Wedges,8172.jpg
1681,48387,Men,Apparel,Bottomwear,Jeans,Blue,Summer,2012,Casual,French Connection Men Blue Jeans,48387.jpg
1682,22758,Women,Apparel,Topwear,Kurtas,Blue,Fall,2011,Ethnic,BIBA Women Printed Blue Kurta,22758.jpg
1691,58327,Women,Footwear,Flip Flops,Flip Flops,Lavender,Summer,2012,Casual,Lotto Women Lavender Flip Flops,58327.jpg
1692,14008,Men,Apparel,Topwear,Tshirts,White,Fall,2011,Casual,Nike Men Printed White Tshirts,14008.jpg
1693,44778,Men,Footwear,Shoes,Casual Shoes,Grey,Summer,2012,Casual,Lotto Men Grey Skateboard Shoes,44778.jpg
1700,19717,Men,Apparel,Topwear,Shirts,Blue,Fall,2011,Casual,United Colors of Benetton Men Check Blue Shirt,19717.jpg
1702,27018,Women,Apparel,Bottomwear,Jeans,Blue,Summer,2012,Casual,Jealous 21 Women Washed Blue Jeans,27018.jpg
1705,31941,Women,Footwear,Shoes,Casual Shoes,Grey,Summer,2012,Casual,Nike Women Air Rift Grey Shoes,31941.jpg
1706,7308,Women,Apparel,Topwear,Tops,Blue,Summer,2011,Casual,UCB Women's Sleeveless Light Blue Top,7308.jpg
1712,58743,Men,Apparel,Topwear,Tshirts,Olive,Fall,2012,Casual,Puma Men Olive T-shirt,58743.jpg
1713,5807,Women,Apparel,Topwear,Tshirts,Blue,Summer,2011,Casual,ADIDAS Women's Tunic Blue T-shirt,5807.jpg
1714,13649,Men,Footwear,Shoes,Casual Shoes,Black,Fall,2011,Casual,ADIDAS Black Hydroterra Shandal Casual Shoes,13649.jpg
1715,34857,Men,Footwear,Shoes,Casual Shoes,Black,Summer,2012,Casual,Vans Men Classic Slip-On Black Shoes,34857.jpg
1717,8724,Men,Apparel,Topwear,Shirts,Red,Fall,2011,Casual,Indigo Nation Men Checks Red Shirts,8724.jpg
1718,35985,Women,Apparel,Topwear,Tshirts,Red,Summer,2012,Casual,Flying Machine Women Poppy Red T-shirt,35985.jpg
1719,47599,Women,Footwear,Shoes,Flats,Brown,Winter,2012,Casual,Portia Women Black Flats,47599.jpg
1722,19141,Men,Footwear,Sandal,Sandals,Black,Fall,2011,Casual,Lotto Men Revorb Black Sandals,19141.jpg
1725,28606,Men,Footwear,Shoes,Sports Shoes,Black,Summer,2012,Casual,Nike Men Air Twilight Black Shoes,28606.jpg
1729,25925,Women,Apparel,Topwear,Tshirts,Purple,Summer,2012,Casual,Femella Women Purple T-Shirt,25925.jpg
1730,5209,Men,Apparel,Topwear,Tshirts,White,Summer,2011,Casual,Superman Men's Job Round Neck White T-shirt,5209.jpg
1731,33840,Men,Footwear,Shoes,Casual Shoes,Black,Summer,2012,Casual,Puma Men Hypermoto Ducati Black Shoes,33840.jpg
1734,39546,Men,Footwear,Flip Flops,Flip Flops,Yellow,Summer,2012,Casual,Numero Uno Men Yellow Flip Flops,39546.jpg
1747,24497,Women,Apparel,Topwear,Kurtas,Black,Fall,2011,Ethnic,Mother Earth Women Black Printed Kurta,24497.jpg
1748,57165,Women,Apparel,Topwear,Tops,Magenta,Summer,2012,Casual,Elle Women Magenta Clash Top,57165.jpg
1749,11770,Men,Apparel,Topwear,Tshirts,Blue,Fall,2011,Casual,Lee Men Printed Blue Tshirts,11770.jpg
1751,42685,Women,Apparel,Topwear,Kurtas,White,Summer,2012,Ethnic,Alma Women White Printed Kurta,42685.jpg
1752,55632,Women,Footwear,Shoes,Heels,Black,Winter,2015,Casual,Catwalk Women Black Flats,55632.jpg
1753,13027,Women,Footwear,Shoes,Heels,Gold,Winter,2012,Casual,Inc 5 Women Casual Gold Flats,13027.jpg
